CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,EstimatedCustomerValue,ValueSegment,ChurnProbability,RetentionPriorityScore,RiskLevel
50001,1,4.0,Mobile Phone,3,6.0,Debit Card,Female,3.0,3,Laptop & Accessory,2,Single,9,1,11.0,1.0,1.0,5.0,159.93,159.93,Low Value,0.715,0.5098577391168668,High Risk
50002,1,9.0,Phone,1,8.0,UPI,Male,3.0,4,Mobile,3,Single,7,1,15.0,0.0,1.0,0.0,120.9,120.9,Low Value,0.92,0.6510740365111563,High Risk
50003,1,9.0,Phone,1,30.0,Debit Card,Male,2.0,4,Mobile,3,Single,6,1,14.0,0.0,1.0,3.0,120.28,120.28,Low Value,0.94,0.6650377594008425,High Risk
50004,1,0.0,Phone,3,15.0,Debit Card,Male,2.0,4,Laptop & Accessory,5,Single,8,0,23.0,0.0,1.0,3.0,134.07,134.07,Low Value,0.88,0.6238446325479794,High Risk
50005,1,0.0,Phone,1,12.0,CC,Male,3.0,3,Mobile,5,Single,3,0,11.0,1.0,1.0,3.0,129.6,129.6,Low Value,0.9,0.6375830862849119,High Risk
50006,1,0.0,Computer,1,22.0,Debit Card,Female,3.0,5,Mobile Phone,5,Single,2,1,22.0,4.0,6.0,7.0,139.19,835.14,High Value,0.935,0.7033652675924481,High Risk
50007,1,9.0,Phone,3,11.0,Cash on Delivery,Male,2.0,3,Laptop & Accessory,2,Divorced,4,0,14.0,0.0,1.0,0.0,120.86000000000001,120.86000000000001,Low Value,0.89,0.6300716960524263,High Risk
50008,1,9.0,Phone,1,6.0,CC,Male,3.0,3,Mobile,2,Divorced,3,1,16.0,2.0,2.0,0.0,122.93,245.86,Low Value,0.59,0.4273856295833983,Medium Risk
50009,1,13.0,Phone,3,9.0,E wallet,Male,3.0,4,Mobile,3,Divorced,2,1,14.0,0.0,1.0,2.0,126.83000000000001,126.83000000000001,Low Value,0.835,0.5919210095178654,High Risk
50010,1,9.0,Phone,1,31.0,Debit Card,Male,2.0,5,Mobile,3,Single,2,0,12.0,1.0,1.0,1.0,122.93,122.93,Low Value,0.725,0.5146928147916991,High Risk
50011,1,4.0,Mobile Phone,1,18.0,Cash on Delivery,Female,2.0,3,Others,3,Divorced,2,0,15.0,9.0,15.0,8.0,295.45,4431.75,High Value,0.405,0.5428081994070837,Medium Risk
50012,1,11.0,Mobile Phone,1,6.0,Debit Card,Male,3.0,4,Fashion,3,Single,10,1,13.0,0.0,1.0,0.0,153.81,153.81,Low Value,0.92,0.6529996489311906,High Risk
50013,1,0.0,Phone,1,11.0,COD,Male,2.0,3,Mobile,3,Single,2,1,13.0,2.0,2.0,2.0,134.41,268.82,Low Value,0.76,0.5477290528943672,High Risk
50014,1,0.0,Phone,1,15.0,CC,Male,3.0,4,Mobile,3,Divorced,1,1,17.0,0.0,1.0,0.0,133.88,133.88,Low Value,0.665,0.4733335153690123,Medium Risk
50015,1,9.0,Mobile Phone,3,15.0,Credit Card,Male,3.0,4,Fashion,2,Single,2,0,16.0,0.0,4.0,7.0,196.19,784.76,High Value,0.785,0.5954174598221251,High Risk
50016,1,9.0,Phone,2,12.0,UPI,Male,3.0,3,Mobile,5,Married,5,1,22.0,1.0,1.0,2.0,120.72999999999999,120.72999999999999,Low Value,0.945,0.668564089561554,High Risk
50017,1,0.0,Computer,1,12.0,Debit Card,Female,3.0,4,Mobile,2,Single,2,1,18.0,1.0,1.0,0.0,129.26,129.26,Low Value,0.94,0.6655631923857075,High Risk
50018,1,0.0,Mobile Phone,3,11.0,E wallet,Male,2.0,4,Laptop & Accessory,3,Single,2,1,11.0,1.0,1.0,3.0,157.44,157.44,Low Value,0.915,0.6497120455609299,High Risk
50019,1,0.0,Computer,1,13.0,Debit Card,Male,3.0,5,Laptop & Accessory,3,Single,2,1,24.0,1.0,1.0,6.0,160.74,160.74,Low Value,0.87,0.6184051334061476,High Risk
50020,1,19.0,Mobile Phone,1,20.0,Debit Card,Female,3.0,3,Mobile Phone,4,Divorced,10,1,18.0,1.0,4.0,3.0,149.63,598.52,High Value,0.835,0.6195202839756592,High Risk
